Año,Seed_t_toneladas
1991,219.48531
1992,219.05480300000002
1993,249.38594999999998
1994,248.227496
1995,247.337783
1996,257.048968
1997,242.017765
1998,240.603616
1999,241.021077
2000,239.526045
2001,233.788566
2002,231.633424
2003,236.859513
2004,225.397601
2005,219.080895
2006,227.970204
2007,226.89263300000002
2008,218.919129
2009,221.491732
2010,222.0
2011,215.0
2012,205.0
2013,214.0
2014,193.0
2015,218.0
2016,205.0
2017,195.0
2018,202.0
2019,207.0
2020,209.0
2021,203.0
2022,205.0
2023,205.0
